Bureau of Justice Statistics,,,
Filename:cv16t04.csv,,,
"Table 4. Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2016",,,
"Report title: Criminal Victimization, 2016",,,
"Data source: Bureau of Justice Statistics, based on internal data from the U.S. Census Bureau, National Crime Victimization Survey (NCVS), 2015–2016. ",,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 11/30/2017,,,
,,,
"Table 4. Rate of crime reported to police in the Uniform Crime Reporting Program and National Crime Victimization Survey, 2016",,,
,,,
Type of crime,,"UCR rate per 1,000 residents/a","NCVS rate per 1,000 persons age 12 or older"
Serious violent crime/b,,3.9,3.6
,Murder,0.1,~
,Rape/c,0.4,0.3
,Robbery,1,1
,Aggravated assault,2.5,2.3
,,"UCR rate per 1,000 residents/a","NCVS rate per 1,000 households"
Property crime,,24.5,42.6
,Burglary,4.7,12.3
,Motor vehicle theft,2.4,3.5
Note: See appendix table 7 for standard errors.,,,
~Not applicable.,,,
"a/Includes crimes against persons age 12 or younger, persons who are homeless, persons who are institutionalized, and crimes against commercial establishments. These populations are out of sample for the NCVS.",,,
"b/In addition to rape, robbery, and aggravated assault, the NCVS includes sexual assault.",,,
c/The NCVS estimate includes sexual assault. See Methodology for details on the measurement of rape or sexual assault in the NCVS. The UCR estimate is based on the revised definition of rape.,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016; and FBI, Crime in the United States, 2016, https://ucr.fbi.gov/crime-in-the-u.s/2016/crime-in-the-u.s.-2016/topic-pages/tables/table-1. ",,,
