Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename:cv16t09.csv,,,,,,,,,,,,,,
"Table 9. Rate of total victimization and percent of victimizations reported to police, by type of crime and household location, 2016",,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2016",,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,,,,,,,,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 11/30/2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 9. Rate of total victimization and percent of victimizations reported to police, by type of crime and household location, 2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Rate of total victimization,,Percent of victimizations reported to police,,,,,,,,,,
Household location,,Violent crime/a,,Serious violent crime/b,,Property crime/c,,,Violent crime/a,,Serious violent crime/b,,Property crime/c,
,Total,21.1,,7,,119.4,,,42.1,%,51.3,%,35.7,%
Region,,,,,,,,,,,,,,
,Northeast*,16.7,,4.6,,76.6,,,44.8,%,57.6,%,32,%
,Midwest,27, †,9.7, †,114.1, †,,34.6, †,45.2,,33.7, 
,South,16.3,,6.2,,115.5, †,,48.1,,57.7,,40.3, †
,West,26.6, †,7.6, †,165.3, †,,42.1,,47.1,,33,
Location of residence,,,,,,,,,,,,,,
,Urban*,29.9,,10.7,,150.5,,,41.9,%,52.6,%,34.1,%
,Suburban,15.4, †,5.1, †,97, †,,42.6,,50.9,,37.9, †
,Rural,21.7, †,5.6, †,125, †,,41.4,,46.8,,34.4,
"Note: Victimization rates are per 1,000 persons age 12 or older for violent crime and per 1,000 households for property crime. See appendix table 13 for standard errors.",,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,
†Significant difference from comparison group at 95% confidence level.,,,,,,,,,,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the NCVS is based on interviews with victims and cannot measure murder.",,,,,,,,,,,,,,
"b/In the NCVS, serious violent crime is a subset of violent crime and includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,,,,
"c/Includes household burglary, motor vehicle theft, and theft.",,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2016.",,,,,,,,,,,,,,
