Bureau of Justice Statistics,,,,
Filename:cv16t13.csv,,,,
"Table 13. National Crime Victimization Survey crime prediction model effects, 2016",,,,
"Report title: Criminal Victimization, 2016",,,,
"Data source: Bureau of Justice Statistics, based on internal data from the U.S. Census Bureau, National Crime Victimization Survey (NCVS), 2016.",,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 11/30/2017,,,,
,,,,
"Table 13. National Crime Victimization Survey crime prediction model effects, 2016",,,,
,,,,
,,Property crime,,Violent crime
Variable,df/a,F value/b,,F value/b
,,,,
Actual TIS/c,6,58.2*,,23.34*
State,50,158.94*,,25.31*
NCVS interviewer experience,1,90.62*,,31.24*
MSA/UR status/d,4,57.04*,,24.28*
Household income,2,22.68*,,56.36*
* p-value < .0001.,,,,
a/The numerator degrees of freedom (df) is one less than the number of categories for each variable. The denominator df is 160 for all variables.,,,,
b/The F value measures the effect of each variable as the between-group variance divided by the within-group variance.,,,,
c/Time in sample (TIS) refers to how long an NCVS respondent has been in the sample.,,,,
"d/MSA refers to the Standard Metropolitan Statistical Area status of the respondent’s household as defined by the U.S. Census Bureau. The largest city in each area is designated a “principal city.” MSA status and Urban/Rural (UR) status are combined into one variable for this table. This combined variable has 5 different values: (1) principal city of an MSA, (2U) Urban area in balance of MSA, (2R) Rural area in balance of MSA, (3U) Urban area outside an MSA, and (3R) Rural area outside an MSA. For more information on MSA status, see https://www.census.gov/programs-surveys/metro-micro/about.html. For more information urban/rural status, see https://www.census.gov/geo/reference/urban-rural.html.",,,,
"Source: Bureau of Justice Statistics, based on internal data from the U.S. Census Bureau, National Crime Victimization Survey (NCVS), 2016.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
